ID,Nombre,Categoría,Descripción Actual,Problemas
"prod_154","SOFT JEAN LUNARES","casa-descanso","N°1 (40 x 40 CM) , N°2 (50 x 50 CM), N°3 (60 x 60 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_156","MOISES LUNARES","casa-descanso","N°1 (40 CM), N°2 (45 CM) , N°2 (50 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_158","MOISES MOÑO PREMIUN","casa-descanso","N°1 (35 CM) , N°2 (40 CM) N°3 (45 CM) , N°4 (50 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_176","COLCHONETA PREMIUN DOBLE LONA 4 PATAS","casa-descanso","N°1 (50 X 50 CM) , N°2 (50 X 65 CM) N°3 (60 X 80 CM) , N°4 (70 X 90 CM) N°5 (80 X 90 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_181","RASCADO TABLA CARTON Y ALFOMBRA","accesorios","RASCADO TABLA CARTON Y ALFOMBRA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_184","RASCADOR DE MADERA EN 2 POSICIONES","accesorios","RASCADOR DE MADERA EN 2 POSICIONES","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_185","RASCADOR CARTÓN CORRUGADO ONDA SIMPLE 12CM X 50CM","accesorios","RASCADOR CARTÓN CORRUGADO ONDA SIMPLE 12CM X 50CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_186","RASCADOR CARTÓN CORRUGADO ""PEZ"" 20CM X 50CM","accesorios","RASCADOR CARTÓN CORRUGADO ""PEZ"" 20CM X 50CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_187","RASCADOR CARTÓN CORRUGADO ONDA SIMPLE 20CM X 50CM","accesorios","RASCADOR CARTÓN CORRUGADO ONDA SIMPLE 20CM X 50CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_188","RASCADOR CON CAJA 11.5CM X 50CM X 4CM","accesorios","RASCADOR CON CAJA 11.5CM X 50CM X 4CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_189","RASCADOR DOBLE T 58CM X 16CM X 20 CM","accesorios","RASCADOR DOBLE T 58CM X 16CM X 20 CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_190","RASCADOR MEDIO INFINITO GRANDE 58CM X 9 CM X 20CM","accesorios","RASCADOR MEDIO INFINITO GRANDE 58CM X 9 CM X 20CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_191","RASCADOR MEDIO INFINITO 55 X  20 X 6,5 CM","accesorios","RASCADOR MEDIO INFINITO 55 X  20 X 6,5 CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_193","RASCADOR RECTO SIN CAJA 11,5 X 50 X 4 CM","accesorios","RASCADOR RECTO SIN CAJA 11,5 X 50 X 4 CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_194","RASCADOR INFINITO 55 X 12 X 20 CM","accesorios","RASCADOR INFINITO 55 X 12 X 20 CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_195","RASCADOR INFINITO 55 X 12 X 20 CM","accesorios","RASCADOR INFINITO 55 X 12 X 20 CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_199","RASCADOR CUADRADO C/ MARCO DE MADERA PARED","accesorios","RASCADOR CUADRADO C/ MARCO DE MADERA PARED","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_200","RASCASDON CUADRADO C/MARCO DE MADERA PARED CHICO","accesorios","RASCASDON CUADRADO C/MARCO DE MADERA PARED CHICO","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_201","RASCADOR BANDEJA 34.5cm x 51cm","accesorios","RASCADOR BANDEJA 34.5cm x 51cm","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_202","RASCADOR ESQUINERO YUTE SILLON 60cm x 9,5cm x 11cm","accesorios","RASCADOR ESQUINERO YUTE SILLON 60cm x 9,5cm x 11cm","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_203","RASCADOR PEZ MULTI COLOR CHICO PARA COLGAR 12 CM","accesorios","RASCADOR PEZ MULTI COLOR CHICO PARA COLGAR 12 CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_204","JUEGO PARA GATO CON RESORTE CON RATA Y TRIPLE  BACE","juguetes","JUEGO PARA GATO CON RESORTE CON RATA Y TRIPLE  BACE","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_210","RASCADOR SILLON CON PATAS KIMEY","accesorios","RASCADOR SILLON CON PATAS KIMEY","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_212","RASCADOR ONDA KEMEY","accesorios","RASACDOR ONDA KEMEY","Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_230","ELEFANTE MINI - AGATAR","accesorios","ELEFANTE MINI -","Descripción MUY CORTA (15 chars) | longDescription IGUAL a description"
"prod_238","JUGUETE MORRON  SILICONADO 6* 10CM","juguetes","JUGUETE MORRON  SILICONADO 6* 10CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_239","PELOTA FRUTA SILICONADA C/LUZ 10CM","juguetes","PELOTA FRUTA SILICONADA C/LUZ 10CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_241","PELOTA ERIZO CON LUZ CHICA 6*6*6*","juguetes","PELOTA ERIZO CON LUZ CHICA 6*6*6*","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_242","PELOTA ERIZO CON LUZ GRANDE 7*7*7","juguetes","PELOTA ERIZO CON LUZ GRANDE 7*7*7","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_243","JUGUETE PESA PINCHES CHIFLE  17*7","juguetes","JUGUETE PESA PINCHES CHIFLE  17*7","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_244","PELOTA PINCHO MULTICOLOR CON LUZ","juguetes","PELOTA PINCHO MULTICOLOR CON LUZ","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_247","PELOTA DE RUGBY CON LUZ Y CHIFLE  S0465","juguetes","PELOTA DE RUGBY CON LUZ Y CHIFLE  S0465","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_249","JUGUETE PELOTA SILICONADO CON FORMAS  8CM  S0599","juguetes","JUGUETE PELOTA SILICONADO CON FORMAS  8CM  S0599","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_250","JUGUETE PELOTA CON ESTRELLAS  LUZ Y CHIFLE 10CM S0486","juguetes","JUGUETE PELOTA CON ESTRELLAS  LUZ Y CHIFLE 10CM S0486","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_251","PELOTA ROTATIVA  E INTERACTIVA CON SOGA 25442","juguetes","PELOTA ROTATIVA  E INTERACTIVA CON SOGA 25442","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_252","PELOTA RECARGABLE USB 5CM  PE0423","juguetes","PELOTA RECARGABLE USB 5CM  PE0423","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_253","PELOTA P/MAS 4,2 REC USB BATERIA 100MA  PE0422","juguetes","PELOTA P/MAS 4,2 REC USB BATERIA 100MA  PE0422","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_255","PELOTA BLANDA MEDIANA    6,3CM     (24088)","juguetes","PELOTA BLANDA MEDIANA    6,3CM     (24088)","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_256","PELOTA BLANDA MEDIANA    6,3CM     (24088)","juguetes","PELOTA BLANDA MEDIANA    6,3CM     (24088)","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_264","PELOTA DE RUGBY GRAN (  27 CM)","juguetes","PELOTA DE RUGBY GRAN (  27 CM)","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_287","GALLINA DE COLORES CON CHIFLE S","juguetes","GALLINA DE COLORES CON CHIFLE S","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_288","GALLINA DE COLORES CON CHIFLE M","juguetes","GALLINA DE COLORES CON CHIFLE M","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_289","GALLINA DE COLORES CON CHIFLE L","juguetes","GALLINA DE COLORES CON CHIFLE L","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_290","PELOTA FUDBOOL AMERICANO  10,5*5","juguetes","PELOTA FUDBOOL AMERICANO  10,5*5","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_291","PELOTA DE FOTBOOL CON CHIFLE  024859","juguetes","PELOTA DE FOTBOOL CON CHIFLE  024859","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_293","JUGUETE LATEX MONSTER DE  12CM","juguetes","JUGUETE LATEX MONSTER DE  12CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_294","JUGUETE CERDO LATEX CON SONIDO  18CM","juguetes","JUGUETE CERDO LATEX CON SONIDO  18CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_296","PELOTA CARITA - PERRIRO BOMBITA CHIFLR","juguetes","PELOTA CARITA - PERRIRO BOMBITA CHIFLR","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_298","CHIFLE PATO COLOR MEDIANO DE 25CM","juguetes","CHIFLE PATO COLOR MEDIANO DE 25CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_300","PELOTA  FUTBOL CON CHIFLE CHICO  127  ANCHO 6CM / ANCHO 6CM","juguetes","PELOTA  FUTBOL CON CHIFLE CHICO  127  ANCHO 6CM / ANCHO 6CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_301","PELOTA  ESPIRAL CON CHIFLE   129 ANCHO 6CM / ANCHO 6CM","juguetes","PELOTA  ESPIRAL CON CHIFLE   129 ANCHO 6CM / ANCHO 6CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_302","PELOTA DE AROS CON CHIFLE    126  ANCHO 6CM / ALTO  6CM","juguetes","PELOTA DE AROS CON CHIFLE    126  ANCHO 6CM / ALTO  6CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_303","PELOTA DE GOLF CHIFLE    130   ANCHO 6CM / ANTO 6CM","juguetes","PELOTA DE GOLF CHIFLE    130   ANCHO 6CM / ANTO 6CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_307","PELOTA CON LINEAS VERTICAL  0165","juguetes","PELOTA CON LINEAS VERTICAL  0165","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_308","PELOTA LINEAS NEGRA Y INFINITO","juguetes","PELOTA LINEAS NEGRA Y INFINITO","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_309","MINI COCODRILO 160 ANCHO 6CM/ ALTO 6CM","juguetes","MINI COCODRILO 160 ANCHO 6CM/ ALTO 6CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_310","TACO CHIFLE  137  ANCHO12CM /ALTO5CM","juguetes","TACO CHIFLE  137  ANCHO12CM /ALTO5CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_311","VAQUITA DE SAN ANTONIO CON  CHIFLE  138  ANCHO9CM/ ALTO 5CM","juguetes","VAQUITA DE SAN ANTONIO CON  CHIFLE  138  ANCHO9CM/ ALTO 5CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_313","COSTILLITA DE CARNE  CHICA CON CHIFLE  100   ANCHO 12CM / ALTO 2 CM","juguetes","COSTILLITA DE CARNE  CHICA CON CHIFLE  100   ANCHO 12CM / ALTO 2 CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_314","HUESO PUNTOS CON CHIFLE  109  ANCHO 5CM / ALTO 16CM","juguetes","HUESO PUNTOS CON CHIFLE  109  ANCHO 5CM / ALTO 16CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_316","SANDIA  CHIFLE 135  ANCHO 5 CM/ ALTO4CM","juguetes","SANDIA  CHIFLE 135  ANCHO 5 CM/ ALTO4CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_321","CHIFLE POLLO COLORES MEDIANO 25CM","juguetes","CHIFLE POLLO COLORES MEDIANO 25CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_322","PERRO CABESON CHIFLE  GRANDE 133  ANCHO16CM / ALTO 7CM","juguetes","PERRO CABESON CHIFLE  GRANDE 133  ANCHO16CM / ALTO 7CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_323","HUESO CHIFLE RETORSIDO GRANDE   112  ANCHO 6CM / ALTO 15CM","juguetes","HUESO CHIFLE RETORSIDO GRANDE   112  ANCHO 6CM / ALTO 15CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_324","FOCA GRANDE CON CHIFLE  139  AMCHO 18CM ALTO11CM","juguetes","FOCA GRANDE CON CHIFLE  139  AMCHO 18CM ALTO11CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_326","MUFFINS GIGANTE 149   ANCHO 11CM / ALTO 10CM","juguetes","MUFFINS GIGANTE 149   ANCHO 11CM / ALTO 10CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_327","MUFFINS CHICO  CON CHIFLE 158 ANCHO 7CM/ 9CM","juguetes","MUFFINS CHICO  CON CHIFLE 158 ANCHO 7CM/ 9CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_328","HUESO CON BANANAS   CHIFLE 159   ANCHO 5CM ALTO 15CM","juguetes","HUESO CON BANANAS   CHIFLE 159   ANCHO 5CM ALTO 15CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_329","GALLETITAS CUADRADA CON CHIFLE 151   ANCHO 11CM/ALTO 3CM","juguetes","GALLETITAS CUADRADA CON CHIFLE 151   ANCHO 11CM/ALTO 3CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_330","GALLETITAS REDONDA  CON CHIFLE 156 ANCHO 10CM ALTO3CM","juguetes","GALLETITAS REDONDA  CON CHIFLE 156 ANCHO 10CM ALTO3CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_331","PALETA DE HELADO 157   ANCHO 5CM /ALTO 14CM","juguetes","PALETA DE HELADO 157   ANCHO 5CM /ALTO 14CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_332","HUESO  GRANDE CON CHIFLE   110  ANCHO 6CM / ALTO 20CM","juguetes","HUESO  GRANDE CON CHIFLE   110  ANCHO 6CM / ALTO 20CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_333","PATY HAMBURGUESA CON CHIFLE   121 ANCHO 3CM / ALTO 9CM","juguetes","PATY HAMBURGUESA CON CHIFLE   121 ANCHO 3CM / ALTO 9CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_335","PANCHOS MEDIANO  CHIFLE   118 ANCHO 13CM / ALTO 4CM","juguetes","PANCHOS MEDIANO  CHIFLE   118 ANCHO 13CM / ALTO 4CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_336","PATA DE POLLO CON HUESO  DE CHIFLE   119 ANCHO18CM / ALTO 3CM","juguetes","PATA DE POLLO CON HUESO  DE CHIFLE   119 ANCHO18CM / ALTO 3CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_337","BIFE MEDIANO 163 ANCHO 3CM/ ALTO 13CM","juguetes","BIFE MEDIANO 163 ANCHO 3CM/ ALTO 13CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_339","BIFE CON CHIFLE 14,5*8CM - 24095","juguetes","BIFE CON CHIFLE 14,5*8CM - 24095","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_340","PANTUFLAS 148  ANCHO 15CM/ ALTO 6CM","juguetes","PANTUFLAS 148  ANCHO 15CM/ ALTO 6CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_341","OJOTA CON CHIFLE    115  ANCHO 15CM / ALTO 2CM","juguetes","OJOTA CON CHIFLE    115  ANCHO 15CM / ALTO 2CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_342","PALO DE BOWLING CON CHIFLE   117   ANCHO 5CM/ ALTO 13CM","juguetes","PALO DE BOWLING CON CHIFLE   117   ANCHO 5CM/ ALTO 13CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_344","ESTRELLA CHICA CON CHIFLE   142  ANCHO9CM/ ALTO2CM","juguetes","ESTRELLA CHICA CON CHIFLE   142  ANCHO9CM/ ALTO2CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_363","CHIFLE PESA  CON PATITAS - 24111","juguetes","CHIFLE PESA  CON PATITAS - 24111","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_366","PELOTA  CHIFLE METEORITO   6CM    824099)","juguetes","PELOTA  CHIFLE METEORITO   6CM    824099)","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_367","HUESO CHIFLE  C/ CARA DE PERRITO","juguetes","HUESO CHIFLE  C/ CARA DE PERRITO","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_370","PAPAS MCDONA","juguetes","PAPAS MC,DONA","Descripción MUY CORTA (13 chars) | longDescription IGUAL a description"
"prod_385","JUGUET PELOTA DENTAL GOMA P/ALIMENTO 5 CM","juguetes","JUGUET PELOTA DENTAL GOMA P/ALIMENTO 5 CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_386","PELOTA LIMPIA DIENTES DE GOMA P/ ALIMENTO 6CM","juguetes","PELOTA LIMPIA DIENTES DE GOMA P/ ALIMENTO 6CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_395","PELOTA VOLADORA MAGICA CON LUZ 7 CM PE0399","juguetes","PELOTA VOLADORA MAGICA CON LUZ 7 CM PE0399","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_396","PELOTA MAGICA VOLADORA PEGABLE","juguetes","PELOTA MAGICA VOLADORA PEGABLE","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_397","HUESO CON TEXTURA - ONEBER PET 01","juguetes","HUESO CON TEXTURA - ONEBER PET 01","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_398","HUESO CON TEXTURA - ONEBER PET02","juguetes","HUESO CON TEXTURA - ONEBER PET02","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_623","CADENA CON AMORTIGUADOR MANGO DE CUERO 80CM . T- 1","accesorios","CADENA CON AMORTIGUADOR MANGO DE CUERO 80CM . T- 1","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_624","CADENA CON AMORTIGUADOR MANGO DE CUERO 80CM . T- 2","accesorios","CADENA CON AMORTIGUADOR MANGO DE CUERO 80CM . T- 2","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_626","CONJUNTO DE CADENA CON COLLAR REGULABLE, 1,20CM","accesorios","CONJUNTO DE CADENA CON COLLAR REGULABLE, 1,20CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_661","COLLAR CUERO C/ OJALILLOS T4  P40X65CM","accesorios","COLLAR CUERO C/ OJALILLOS T4  P40X65CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_662","COLLAR CUERO LISO  T1  PASE 15X30CM","accesorios","COLLAR CUERO LISO  T1  PASE 15X30CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_676","COLLAR- XHL MODELO 3","accesorios","COLLAR- XHL","Descripción MUY CORTA (11 chars) | longDescription IGUAL a description"
"prod_683","PRETAL NATO PARA PITBULL REGULABLE T-50","accesorios","PRETAL NATO PARA PITBULL REGULABLE T-50","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_684","CONJUNTO PRETAL NATO PARA PITBULL REGULABLE T-50","accesorios","CONJUNTO PRETAL NATO PARA PITBULL REGULABLE T-50","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_691","CONJUNTO PECHERA Y TIRA TIPO JEANS  T2     1,5","accesorios","CONJUNTO PECHERA Y TIRA TIPO JEANS  T2     1,5","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_694","CONJUNTO FANTASIA IMP.3 CM T-3","accesorios","CONJUNTO FANTASIA IMP.3 CM T-3","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_703","CONJUNTO CORREA PASADORA 1,0CM*120CM*2,0CM","accesorios","CONJUNTO   CORREA PASADORA 1,0CM*120CM*2,0CM","Descripción MUY SIMILAR al título | longDescription IGUAL a description"
"prod_705","CONJUNTO REFORZASDO / RALLADO  GRANDE 8485-3","accesorios","CONJUNTO REFORZASDO / RALLADO  GRANDE 8485-3","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_707","CONJUNTO PECHERA COLORES PASTEL C/ LUNARES","accesorios","CONJUNTO PECHERA COLORES PASTEL C/ LUNARES","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_710","CONJUNTO REGULABLE RALLADO T -1     1,5","accesorios","CONJUNTO REGULABLE RALLADO T -1     1,5","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_711","CONJUNTO REGULABLE RALLADO T -2   2,0","accesorios","CONJUNTO REGULABLE RALLADO T -2   2,0","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_712","CONJUNTO REGULABLE RALLADO T -3     2,5","accesorios","CONJUNTO REGULABLE RALLADO T -3     2,5","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_720","Mochila Astronauta para Mascotas – Diseño Pingüino","casa-descanso","🐾 Mochila Astronauta para Mascotas – Diseño Pingüino 🐧","Descripción MUY SIMILAR al título | longDescription IGUAL a description"
"prod_723","TIRA LARGA","accesorios","N°5 (1,60M)p30 ,N°6(1,6M)p30 N°7 (2M)  p25, N°8(2M) p30 N°9 (DE 3 METROS) ,N°10 (DE 5 METROS)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_735","COLLAR MOÑO ANIMAL PRINS  8314-2","accesorios","COLLAR MOÑO ANIMAL PRINS  8314-2","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_738","PECHERA ARNES AJUSTABLE CON CORREA","accesorios","PECHERA ARNES AJUSTABLE CON CORREA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_755","conjunto pechera y tira tipo jeans  t1    1,0","accesorios","conjunto pechera y tira tipo jeans  t1    1,0","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_757","CONJUNTO REFORZADO/ CAMUCLADO MEDIANO","accesorios","CONJUNTO REFORZADO/ CAMUCLADO MEDIANO","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_758","CONJUNTO SOGA REGULABLE CAMUFLADO GRANDE","accesorios","CONJUNTO SOGA REGULABLE CAMUFLADO GRANDE","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_759","CONJUNTO SOGA REGULABLE ( COLOR/ VARIOS) GRANDE","accesorios","CONJUNTO SOGA REGULABLE ( COLOR/ VARIOS) GRANDE","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_784","COMEDERO DOBLE CON BEBEDERO A ROSCA","accesorios","COMEDERO DOBLE CON BEBEDERO A ROSCA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_786","COMEDERO  MELAMINA  ESTAMPADA  6,5""","accesorios","COMEDERO  MELAMINA  ESTAMPADA  6,5""","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_787","COMEDERO  MELAMINA  ESTAMPADA  7,5""","accesorios","COMEDERO  MELAMINA  ESTAMPADA  7,5""","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_788","COMEDERO MELAMINA  ESTAMPADA 8,5""","accesorios","COMEDERO MELAMINA  ESTAMPADA 8,5""","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_800","CAZUELA ACERO INOXIDABLE CON BASE ANTIDESLIZANTE S-11CM T-1","accesorios","CAZUELA ACERO INOXIDABLE CON BASE ANTIDESLIZANTE S-11CM T-1","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_801","CAZUELA ACERO INOXIDABLE CON BASE ANTIDESLIZANTE L-18CM T-3","accesorios","CAZUELA ACERO INOXIDABLE CON BASE ANTIDESLIZANTE L-18CM T-3","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_810","COMEDERO DE PLÁSTICO CON ANTIDESLIZANTE, TRANSLÚCIDO, 0,25L, Ø12CM","accesorios","COMEDERO DE PLÁSTICO CON ANTIDESLIZANTE, TRANSLÚCIDO, 0,25L, Ø12CM","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_813","COMEDERO REGU-DIET CON ANTIDESLIZANTE 22CM  JK-4450","accesorios","COMEDERO REGU-DIET CON ANTIDESLIZANTE 22CM  JK-4450","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_814","COMEDEROS DOBLE (MDP) GATO / PERRO","accesorios","COMEDEROS DOBLE (MDP) GATO / PERRO","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_823","DISPENSER DE AGUA PARA MASCOTAS 3L  JK-4159","accesorios","DISPENSER DE AGUA PARA MASCOTAS 3L  JK-4159","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_847","TAZON PARA GATO 200ML AZUL Y ROSA","accesorios","TAZON PARA GATO 200ML AZUL Y ROSA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_848","TAZON  PARA  PERRO 300 ML AZUL Y ROSA","accesorios","TAZON  PARA  PERRO 300 ML AZUL Y ROSA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_849","TAZON PARA PERRO 650 ML AZUL Y ROSA","accesorios","TAZON PARA PERRO 650 ML AZUL Y ROSA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_850","BEBEDERO AUTAMATICO PARA PERRO 250ML AZUL Y ROSA","accesorios","BEBEDERO AUTAMATICO PARA PERRO 250ML AZUL Y ROSA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_851","BEBEDERO AUTOMATICO PARA GATO 250ML AZUL Y ROSA","accesorios","BEBEDERO AUTOMATICO PARA GATO 250ML AZUL Y ROSA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_853","COMELENTO GRANDE REDONDO CON HUELLA","accesorios","COMELENTO GRANDE REDONDO CON HUELLA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_856","COMEDERO DOBLE  OCHO CHICO 200ML","accesorios","COMEDERO DOBLE  OCHO CHICO 200ML","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_857","COMEDERO DOBLE OCHO GRANDE 350ML","accesorios","COMEDERO DOBLE OCHO GRANDE 350ML","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_858","COMEDERO Y BEBEDERO MASCOTA TRIANGULAR","accesorios","COMEDERO Y BEBEDERO MASCOTA TRIANGULAR","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_166","BOLSO ANTI-DESGARRO PREMIUN","casa-descanso","Medidas Disponibles:  MEDIANO (26x38x30), GRANDE (29X41X33)","longDescription IGUAL a description"
"prod_174","MOISES NIDO AJUSTABLEE DE POLAR","casa-descanso","Medidas Disponibles:  N°1 (55 CM), N°2 (65 CM) , N°3 (75 CM)","longDescription IGUAL a description"
"prod_175","ALMOHADON PREMIUM","casa-descanso","Medidas Disponibles:  N°2 (50 X 65 CM), N°3 (60 X 80 CM) , N°4 (80 X 90 CM)","longDescription IGUAL a description"
